SnapshotDate,TransactionType,FTR_ID,Source,Sink,MW_Current,OriginalAcquisitionCost,MW_Previous,MW_Sold,Notes,HedgeType,StartDate,EndDate,AcquisitionCost_Previous,AcquisitionCost_Current,SaleProceeds,Profit,TradingPeriods,PricePerMW
2026-01-31,INITIAL,7812465,KIK,ISL,2.7,44.7,,,,,,,,,,,,
2026-01-31,INITIAL,7812160,KIK,ISL,7.6,109.59,,,,,,,,,,,,
2026-01-31,INITIAL,7812483,KIK,ISL,24.7,356.17,,,,,,,,,,,,
2026-01-31,INITIAL,7812716,KIK,ISL,6.3,158.62,,,,,,,,,,,,
2026-01-31,INITIAL,7812756,KIK,ISL,7.6,109.59,,,,,,,,,,,,
2026-01-31,INITIAL,7812065,BEN,KIK,11.8,140378.7,,,,,,,,,,,,
2026-01-31,INITIAL,7812132,BEN,KIK,0.2,2379.3,,,,,,,,,,,,
2026-01-31,INITIAL,7812728,BEN,KIK,0.2,2379.3,,,,,,,,,,,,
2026-01-31,INITIAL,7812153,ISL,KIK,3.4,12600.2,,,,,,,,,,,,
2026-01-31,INITIAL,7812482,ISL,KIK,14.7,54477.32,,,,,,,,,,,,
2026-01-31,INITIAL,7812032,ISL,KIK,6.0,22235.64,,,,,,,,,,,,
2026-01-31,INITIAL,7812497,ISL,KIK,0.2,741.19,,,,,,,,,,,,
2026-01-31,INITIAL,7812749,ISL,KIK,3.4,12600.2,,,,,,,,,,,,
2026-01-31,INITIAL,7812417,ISL,KIK,7.0,25891.11,,,,,,,,,,,,
2026-01-31,INITIAL,7812057,BEN,OTA,7.2,171880.63,,,,,,,,,,,,
2026-01-31,INITIAL,7812411,BEN,OTA,9.7,231561.41,,,,,,,,,,,,
2026-01-31,INITIAL,7812066,BEN,OTA,11.4,289569.46,,,,,,,,,,,,
2026-01-31,INITIAL,7812491,BEN,OTA,1.4,35561.16,,,,,,,,,,,,
2026-01-31,INITIAL,7812140,HAY,OTA,0.2,2393.72,,,,,,,,,,,,
2026-01-31,INITIAL,7812736,HAY,OTA,0.2,2393.72,,,,,,,,,,,,
2026-01-31,INITIAL,7812147,INV,OTA,0.1,2615.79,,,,,,,,,,,,
2026-01-31,INITIAL,7812743,INV,OTA,0.1,2615.79,,,,,,,,,,,,
2026-01-31,INITIAL,7812492,WKM,OTA,19.1,140465.22,,,,,,,,,,,,
2026-01-31,INITIAL,7812002,WKM,OTA,31.5,231657.3,,,,,,,,,,,,
2026-01-31,INITIAL,7814608,WKM,OTA,3.2,27164.93,,,,,,,,,,,,
2026-01-31,INITIAL,7814323,WKM,OTA,0.7,5942.33,,,,,,,,,,,,
2026-01-31,INITIAL,7813969,BEN,RDF,0.2,4017.6,,,,,,,,,,,,
2026-01-31,INITIAL,7814563,BEN,RDF,0.2,4017.6,,,,,,,,,,,,
2026-01-31,INITIAL,7814012,WKM,RDF,21.7,18889.42,,,,,,,,,,,,
2026-01-31,INITIAL,7814606,WKM,RDF,21.7,18889.42,,,,,,,,,,,,
2026-01-31,INITIAL,7813970,BEN,WKM,0.0,5774.18,,,,,,,,,,,,
2026-01-31,INITIAL,7814564,BEN,WKM,0.0,5774.18,,,,,,,,,,,,
2026-01-31,INITIAL,7813975,HAY,WKM,0.3,1582.49,,,,,,,,,,,,
2026-01-31,INITIAL,7814321,HAY,WKM,21.6,113939.14,,,,,,,,,,,,
2026-01-31,INITIAL,7814569,HAY,WKM,0.3,1582.49,,,,,,,,,,,,
2026-01-31,INITIAL,7814250,OTA,WKM,8.4,-67808.16,,,,,,,,,,,,
2026-01-31,INITIAL,7813954,RDF,WKM,28.4,24087.74,,,,,,,,,,,,
2026-01-31,INITIAL,7814324,RDF,WKM,1.9,1611.5,,,,,,,,,,,,
2026-01-31,INITIAL,7813884,RDF,WKM,1.4,1187.42,,,,,,,,,,,,
2026-01-31,INITIAL,7814028,RDF,WKM,10.1,8566.42,,,,,,,,,,,,
2026-01-31,INITIAL,7813905,HAY,BEN,15.8,8228.64,,,,,,,,,,,,
2026-01-31,INITIAL,7814320,HAY,BEN,7.4,3853.92,,,,,,,,,,,,
2026-01-31,INITIAL,7813843,HAY,BEN,3.0,1562.4,,,,,,,,,,,,
2026-01-31,INITIAL,7814039,HAY,BEN,7.6,3958.08,,,,,,,,,,,,
2026-01-31,INITIAL,7814127,HAY,BEN,6.0,3124.8,,,,,,,,,,,,
2026-01-31,INITIAL,7814129,HAY,BEN,5.0,2604.0,,,,,,,,,,,,
2026-01-31,INITIAL,7814130,HAY,BEN,5.0,2604.0,,,,,,,,,,,,
2026-01-31,INITIAL,7814128,HAY,BEN,5.0,2604.0,,,,,,,,,,,,
2026-01-31,INITIAL,7814247,HAY,BEN,4.4,2291.52,,,,,,,,,,,,
2026-01-31,INITIAL,7814329,HAY,BEN,1.3,677.04,,,,,,,,,,,,
2026-01-31,INITIAL,7814260,INV,BEN,0.6,633.89,,,,,,,,,,,,
2026-01-31,INITIAL,7813914,INV,BEN,23.9,25249.87,,,,,,,,,,,,
2026-01-31,INITIAL,7813976,INV,BEN,0.0,7078.42,,,,,,,,,,,,
2026-01-31,INITIAL,7814311,INV,BEN,11.1,11726.93,,,,,,,,,,,,
2026-01-31,INITIAL,7813850,INV,BEN,4.7,4965.46,,,,,,,,,,,,
2026-01-31,INITIAL,7814570,INV,BEN,3.9,7078.42,,,,,,,,,,,,
2026-01-31,INITIAL,7814258,ISL,BEN,0.1,2.98,,,,,,,,,,,,
2026-01-31,INITIAL,7814397,ISL,BEN,1.2,35.71,,,,,,,,,,,,
2026-01-31,INITIAL,7814541,ISL,BEN,5.9,175.58,,,,,,,,,,,,
2026-01-31,INITIAL,7814304,WKM,BEN,0.0,991.01,,,,,,,,,,,,
2026-01-31,INITIAL,7813894,BEN,HAY,18.2,254296.22,,,,,,,,,,,,
2026-01-31,INITIAL,7814319,BEN,HAY,2.0,27944.64,,,,,,,,,,,,
2026-01-31,INITIAL,7813836,BEN,HAY,12.4,173256.77,,,,,,,,,,,,
