Point of connection,Trading date,Trading period,$/MWh,Price status
OTA2201,2026-01-27,38,1.64,Final
OTA2201,2026-01-27,39,1.25,Final
OTA2201,2026-01-27,40,1.45,Final
OTA2201,2026-01-27,41,1.46,Final
OTA2201,2026-01-27,42,1.19,Final
OTA2201,2026-01-27,43,2.28,Final
OTA2201,2026-01-27,44,2.27,Final
OTA2201,2026-01-27,45,2.02,Final
OTA2201,2026-01-27,46,3.35,Final
OTA2201,2026-01-27,47,4.32,Final
OTA2201,2026-01-27,48,0.67,Final
OTA2201,2026-01-26,1,0.01,Final
OTA2201,2026-01-26,2,0.01,Final
OTA2201,2026-01-26,3,0.01,Final
OTA2201,2026-01-26,4,0.01,Final
OTA2201,2026-01-26,5,0.01,Final
OTA2201,2026-01-26,6,0.01,Final
OTA2201,2026-01-26,7,0.01,Final
OTA2201,2026-01-26,8,0.01,Final
OTA2201,2026-01-26,9,0.01,Final
OTA2201,2026-01-26,10,0.01,Final
OTA2201,2026-01-26,11,0.01,Final
OTA2201,2026-01-26,12,0.01,Final
OTA2201,2026-01-26,13,0.01,Final
OTA2201,2026-01-26,14,0.01,Final
OTA2201,2026-01-26,15,0.02,Final
OTA2201,2026-01-26,16,0.02,Final
OTA2201,2026-01-26,17,0.02,Final
OTA2201,2026-01-26,18,0.02,Final
OTA2201,2026-01-26,19,0.03,Final
OTA2201,2026-01-26,20,0.02,Final
OTA2201,2026-01-26,21,0.02,Final
OTA2201,2026-01-26,22,0.03,Final
OTA2201,2026-01-26,23,0.03,Final
OTA2201,2026-01-26,24,0.03,Final
OTA2201,2026-01-26,25,0.02,Final
OTA2201,2026-01-26,26,0.03,Final
OTA2201,2026-01-26,27,0.02,Final
OTA2201,2026-01-26,28,0.02,Final
OTA2201,2026-01-26,29,0.02,Final
OTA2201,2026-01-26,30,0.01,Final
OTA2201,2026-01-26,31,0.01,Final
OTA2201,2026-01-26,32,0.02,Final
OTA2201,2026-01-26,33,0.02,Final
OTA2201,2026-01-26,34,0.29,Final
OTA2201,2026-01-26,35,0.77,Final
OTA2201,2026-01-26,36,1.08,Final
OTA2201,2026-01-26,37,1.99,Final
OTA2201,2026-01-26,38,2.35,Final
OTA2201,2026-01-26,39,1.3,Final
OTA2201,2026-01-26,40,1.27,Final
OTA2201,2026-01-26,41,1.47,Final
OTA2201,2026-01-26,42,2.14,Final
OTA2201,2026-01-26,43,2.46,Final
OTA2201,2026-01-26,44,2.4,Final
OTA2201,2026-01-26,45,2.11,Final
OTA2201,2026-01-26,46,1.12,Final
OTA2201,2026-01-26,47,0.03,Final
OTA2201,2026-01-26,48,0.01,Final
OTA2201,2026-01-25,1,0.01,Final
OTA2201,2026-01-25,2,0.01,Final
OTA2201,2026-01-25,3,0.01,Final
OTA2201,2026-01-25,4,0.01,Final
OTA2201,2026-01-25,5,0.01,Final
OTA2201,2026-01-25,6,0.01,Final
OTA2201,2026-01-25,7,0.01,Final
OTA2201,2026-01-25,8,0.01,Final
OTA2201,2026-01-25,9,0.01,Final
OTA2201,2026-01-25,10,0.01,Final
OTA2201,2026-01-25,11,0.01,Final
OTA2201,2026-01-25,12,0.01,Final
OTA2201,2026-01-25,13,0.01,Final
OTA2201,2026-01-25,14,0.01,Final
OTA2201,2026-01-25,15,0.01,Final
OTA2201,2026-01-25,16,0.02,Final
OTA2201,2026-01-25,17,0.01,Final
OTA2201,2026-01-25,18,0.01,Final
OTA2201,2026-01-25,19,0.01,Final
OTA2201,2026-01-25,20,0.01,Final
OTA2201,2026-01-25,21,0.01,Final
OTA2201,2026-01-25,22,0.01,Final
OTA2201,2026-01-25,23,0.01,Final
OTA2201,2026-01-25,24,0.01,Final
OTA2201,2026-01-25,25,0.01,Final
OTA2201,2026-01-25,26,0.01,Final
OTA2201,2026-01-25,27,0.01,Final
OTA2201,2026-01-25,28,0.01,Final
OTA2201,2026-01-25,29,0.01,Final
OTA2201,2026-01-25,30,0.01,Final
OTA2201,2026-01-25,31,0.01,Final
OTA2201,2026-01-25,32,0.01,Final
OTA2201,2026-01-25,33,0.01,Final
OTA2201,2026-01-25,34,0.01,Final
OTA2201,2026-01-25,35,0.01,Final
OTA2201,2026-01-25,36,0.02,Final
OTA2201,2026-01-25,37,0.02,Final
OTA2201,2026-01-25,38,0.02,Final
OTA2201,2026-01-25,39,0.02,Final
OTA2201,2026-01-25,40,0.02,Final
OTA2201,2026-01-25,41,0.02,Final
OTA2201,2026-01-25,42,0.02,Final
OTA2201,2026-01-25,43,0.02,Final
OTA2201,2026-01-25,44,0.01,Final
OTA2201,2026-01-25,45,0.01,Final
OTA2201,2026-01-25,46,0.01,Final
OTA2201,2026-01-25,47,0.01,Final
OTA2201,2026-01-25,48,0.01,Final
OTA2201,2026-01-24,1,0.01,Final
OTA2201,2026-01-24,2,0.01,Final
OTA2201,2026-01-24,3,0.01,Final
OTA2201,2026-01-24,4,0.01,Final
OTA2201,2026-01-24,5,0.01,Final
OTA2201,2026-01-24,6,0.01,Final
OTA2201,2026-01-24,7,0.01,Final
OTA2201,2026-01-24,8,0.01,Final
OTA2201,2026-01-24,9,0.01,Final
OTA2201,2026-01-24,10,0.01,Final
OTA2201,2026-01-24,11,0.01,Final
OTA2201,2026-01-24,12,0.01,Final
OTA2201,2026-01-24,13,0.01,Final
OTA2201,2026-01-24,14,0.02,Final
OTA2201,2026-01-24,15,0.02,Final
OTA2201,2026-01-24,16,0.01,Final
OTA2201,2026-01-24,17,0.01,Final
OTA2201,2026-01-24,18,0.02,Final
OTA2201,2026-01-24,19,0.03,Final
OTA2201,2026-01-24,20,0.03,Final
OTA2201,2026-01-24,21,0.04,Final
OTA2201,2026-01-24,22,0.05,Final
OTA2201,2026-01-24,23,0.04,Final
OTA2201,2026-01-24,24,0.04,Final
OTA2201,2026-01-24,25,0.04,Final
OTA2201,2026-01-24,26,0.02,Final
OTA2201,2026-01-24,27,0.02,Final
OTA2201,2026-01-24,28,0.02,Final
OTA2201,2026-01-24,29,0.02,Final
OTA2201,2026-01-24,30,0.02,Final
OTA2201,2026-01-24,31,0.02,Final
OTA2201,2026-01-24,32,0.01,Final
OTA2201,2026-01-24,33,0.01,Final
OTA2201,2026-01-24,34,0.01,Final
OTA2201,2026-01-24,35,0.02,Final
OTA2201,2026-01-24,36,0.02,Final
OTA2201,2026-01-24,37,0.02,Final
OTA2201,2026-01-24,38,0.03,Final
OTA2201,2026-01-24,39,0.02,Final
OTA2201,2026-01-24,40,0.02,Final
OTA2201,2026-01-24,41,0.01,Final
OTA2201,2026-01-24,42,0.01,Final
OTA2201,2026-01-24,43,0.02,Final
OTA2201,2026-01-24,44,0.02,Final
OTA2201,2026-01-24,45,0.01,Final
OTA2201,2026-01-24,46,0.01,Final
OTA2201,2026-01-24,47,0.01,Final
OTA2201,2026-01-24,48,0.01,Final
OTA2201,2026-01-23,1,0.01,Final
OTA2201,2026-01-23,2,0.01,Final
OTA2201,2026-01-23,3,0.01,Final
OTA2201,2026-01-23,4,0.01,Final
OTA2201,2026-01-23,5,0.01,Final
OTA2201,2026-01-23,6,0.01,Final
OTA2201,2026-01-23,7,0.01,Final
OTA2201,2026-01-23,8,0.01,Final
OTA2201,2026-01-23,9,0.01,Final
OTA2201,2026-01-23,10,0.01,Final
OTA2201,2026-01-23,11,0.01,Final
OTA2201,2026-01-23,12,0.02,Final
OTA2201,2026-01-23,13,0.03,Final
OTA2201,2026-01-23,14,0.02,Final
OTA2201,2026-01-23,15,0.03,Final
OTA2201,2026-01-23,16,0.05,Final
